case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
tiny,16,64,cpu,1,0.137000,0.137000,0.137000,0.000000,full,64,64,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiny,16,64,udp,1,13.930000,13.930000,13.930000,0.000000,full,64,64,True,13.494000,0.014000,0.010000,13.494000,0.001000,0.013000,13.531000,0.029000,1.060000,0.000000,0.010000,0.020000,0.593000,0.000000,0.000000,0.581000,3.000000,5.000000,2.000000,822.000000,1019.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000,64.000000,1.000000,1.000000,70000000.000000,16.000000,64.000000,64.000000,1.000000,1.000000,1.000000,3.000000,0.000000,822.000000,1019.000000,2016.000000,31.000000,163.000000,32.000000,195.000000,643.000000,128.000000,771.000000,1542.000000,45.000000,0.000000,0.000000,0.000000,210.000000,1760.000000,771.000000,16.000000,64.000000,64.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,976.000000
small,64,256,cpu,1,0.170000,0.170000,0.170000,0.000000,full,256,256,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,64,256,udp,1,13.957000,13.957000,13.957000,0.000000,full,256,256,True,13.443000,0.018000,0.035000,13.443000,0.001000,0.046000,13.543000,0.037000,0.701000,0.000000,0.008000,0.085000,1.023000,0.000000,0.000000,0.980000,5.000000,8.000000,4.000000,3228.000000,3344.000000,1.000000,3.000000,3.000000,1.000000,3.000000,0.000000,1.000000,256.000000,1.000000,1.000000,70000000.000000,64.000000,256.000000,256.000000,1.000000,3.000000,3.000000,4.000000,0.000000,3228.000000,3344.000000,7227.000000,31.000000,643.000000,128.000000,771.000000,2569.000000,512.000000,3081.000000,6162.000000,60.000000,0.000000,0.000000,0.000000,786.000000,2853.000000,1419.000000,64.000000,256.000000,256.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3906.000000
a_medium_low10,256,1020,cpu,1,0.277000,0.277000,0.277000,0.000000,low10,102,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_low10,256,1020,udp,1,15.373000,15.373000,15.373000,0.000000,low10,102,102,True,14.516000,0.042000,0.138000,14.516000,0.002000,0.056000,14.754000,0.035000,0.492000,0.022000,0.589000,0.068000,1.447000,0.000000,0.000000,0.256000,13.000000,10.000000,12.000000,12812.000000,1550.000000,3.000000,9.000000,7.000000,1.000000,1.000000,0.000000,1.000000,102.000000,1.000000,1.000000,70000000.000000,256.000000,1020.000000,102.000000,3.000000,9.000000,1.000000,8.000000,0.000000,12812.000000,1550.000000,16929.000000,31.000000,2569.000000,512.000000,3081.000000,10227.000000,2040.000000,1227.000000,13494.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2360.000000,1227.000000,256.000000,1020.000000,102.000000,918.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_half,256,1024,cpu,1,0.295000,0.295000,0.295000,0.000000,half,512,512,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_half,256,1024,udp,1,15.133000,15.133000,15.133000,0.000000,half,512,512,True,14.414000,0.044000,0.137000,14.414000,0.001000,0.092000,14.688000,0.029000,0.516000,0.025000,0.509000,0.075000,1.642000,0.000000,0.000000,1.565000,13.000000,14.000000,12.000000,12852.000000,6482.000000,3.000000,9.000000,7.000000,1.000000,5.000000,0.000000,1.000000,512.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,512.000000,3.000000,9.000000,5.000000,8.000000,0.000000,12852.000000,6482.000000,21909.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,6159.000000,18474.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,512.000000,512.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_hotkey,256,1024,cpu,1,0.353000,0.353000,0.353000,0.000000,hotkey,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_hotkey,256,1024,udp,1,15.906000,15.906000,15.906000,0.000000,hotkey,1024,1024,True,15.045000,0.037000,0.135000,15.045000,0.002000,0.178000,15.397000,0.033000,0.693000,0.036000,0.617000,0.057000,1.755000,0.000000,0.000000,1.651000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_none,256,1024,cpu,1,0.276000,0.276000,0.276000,0.000000,none,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_none,256,1024,udp,1,16.130000,16.130000,16.130000,0.000000,none,0,0,True,15.441000,0.036000,0.135000,15.441000,0.000000,0.000000,15.612000,0.032000,0.693000,0.029000,0.584000,0.079000,1.484000,0.000000,0.000000,0.000000,13.000000,9.000000,12.000000,12852.000000,323.000000,3.000000,9.000000,7.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,0.000000,3.000000,9.000000,0.000000,8.000000,0.000000,12852.000000,323.000000,15750.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,0.000000,12315.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,1434.000000,0.000000,256.000000,1024.000000,0.000000,1024.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_outer_skew,256,1024,cpu,1,0.366000,0.366000,0.366000,0.000000,outer_skew,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_outer_skew,256,1024,udp,1,15.889000,15.889000,15.889000,0.000000,outer_skew,1024,1024,True,15.010000,0.039000,0.138000,15.010000,0.002000,0.181000,15.370000,0.033000,0.620000,0.020000,0.569000,0.058000,1.998000,0.000000,0.000000,1.886000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
medium,256,1024,cpu,1,0.353000,0.353000,0.353000,0.000000,full,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medium,256,1024,udp,1,15.550000,15.550000,15.550000,0.000000,full,1024,1024,True,14.670000,0.039000,0.133000,14.670000,0.002000,0.174000,15.018000,0.026000,0.508000,0.023000,0.653000,0.064000,1.715000,0.000000,0.000000,1.614000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
rx4,1024,4096,cpu,1,1.238000,1.238000,1.238000,0.000000,full,4096,4096,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rx4,1024,4096,udp,1,22.343000,22.343000,22.343000,0.000000,full,4096,4096,True,20.205000,0.125000,0.503000,20.205000,0.006000,0.686000,21.526000,0.024000,0.619000,0.045000,1.118000,0.299000,4.866000,0.000000,0.000000,4.493000,45.000000,60.000000,44.000000,51348.000000,49820.000000,9.000000,35.000000,23.000000,1.000000,35.000000,0.000000,1.000000,4096.000000,1.000000,1.000000,70000000.000000,1024.000000,4096.000000,4096.000000,9.000000,35.000000,35.000000,24.000000,0.000000,51348.000000,49820.000000,111423.000000,31.000000,10267.000000,2048.000000,12315.000000,41065.000000,8192.000000,49257.000000,98514.000000,360.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,1024.000000,4096.000000,4096.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,62500.000000
large,4096,16384,cpu,1,4.923000,4.923000,4.923000,0.000000,full,16384,16384,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,4096,16384,udp,1,48.667000,48.667000,48.667000,0.000000,full,16384,16384,True,40.049000,0.524000,2.009000,40.049000,0.019000,2.813000,45.414000,0.027000,0.599000,0.263000,2.854000,0.992000,17.461000,0.000000,0.000000,16.764000,175.000000,229.000000,174.000000,205338.000000,198563.000000,35.000000,139.000000,88.000000,1.000000,139.000000,0.000000,1.000000,16384.000000,1.000000,1.000000,70000000.000000,4096.000000,16384.000000,16384.000000,35.000000,139.000000,139.000000,89.000000,0.000000,205338.000000,198563.000000,444876.000000,31.000000,41065.000000,8192.000000,49257.000000,164257.000000,32768.000000,197025.000000,394050.000000,1335.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,4096.000000,16384.000000,16384.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,250000.000000
a_bram_low10,12288,49150,cpu,1,10.264000,10.264000,10.264000,0.000000,low10,4915,4915,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_low10,12288,49150,udp,1,93.860000,93.860000,93.860000,0.000000,low10,4915,4915,True,83.659000,1.427000,5.835000,83.659000,0.009000,1.942000,92.873000,0.040000,0.813000,1.867000,4.658000,4.885000,26.594000,0.000000,0.000000,18.843000,523.000000,306.000000,522.000000,615962.000000,63254.000000,105.000000,417.000000,262.000000,1.000000,42.000000,0.000000,1.000000,4915.000000,1.000000,1.000000,70000000.000000,12288.000000,49150.000000,4915.000000,105.000000,417.000000,42.000000,263.000000,0.000000,615962.000000,63254.000000,958427.000000,31.000000,123195.000000,26130.000000,149325.000000,492751.000000,253066.000000,59106.000000,804923.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3773.000000,1419.000000,12288.000000,49150.000000,4915.000000,44235.000000,0.000000,777.000000,77383.000000,3.000000,7.000000,750000.000000
a_bram_half,12288,49152,cpu,1,12.182000,12.182000,12.182000,0.000000,half,24576,24576,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_half,12288,49152,udp,1,86.960000,86.960000,86.960000,0.000000,half,24576,24576,True,71.668000,1.501000,5.918000,71.668000,0.036000,4.278000,83.401000,0.039000,0.619000,1.564000,5.259000,5.644000,20.421000,0.000000,0.000000,17.453000,523.000000,473.000000,522.000000,615982.000000,299687.000000,105.000000,417.000000,262.000000,1.000000,209.000000,0.000000,1.000000,24576.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,24576.000000,105.000000,417.000000,209.000000,263.000000,0.000000,615982.000000,299687.000000,1128872.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,187058.000000,295539.000000,975368.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3429.000000,1419.000000,12288.000000,49152.000000,24576.000000,24576.000000,0.000000,777.000000,44377.000000,3.000000,7.000000,750000.000000
a_bram_hotkey,12288,49152,cpu,1,14.054000,14.054000,14.054000,0.000000,hotkey,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_hotkey,12288,49152,udp,1,113.938000,113.938000,113.938000,0.000000,hotkey,49152,49152,True,92.801000,1.446000,5.903000,92.801000,0.068000,8.185000,108.403000,0.026000,0.542000,0.679000,6.940000,3.143000,50.642000,0.000000,0.000000,47.838000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1335654.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,98304.000000,591075.000000,1182150.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2853.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,0.000000,3.000000,1.000000,750000.000000
a_bram_max_x4,12288,49152,cpu,1,15.918000,15.918000,15.918000,0.000000,full,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_max_x4,12288,49152,udp,1,114.926000,114.926000,114.926000,0.000000,full,49152,49152,True,93.875000,1.406000,5.877000,93.875000,0.060000,8.325000,109.543000,0.050000,0.752000,0.871000,7.194000,2.707000,51.056000,0.000000,0.000000,48.291000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1341870.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,104520.000000,591075.000000,1188366.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3001.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,3108.000000,3.000000,3.000000,750000.000000
a_bram_none,12288,49152,cpu,1,8.538000,8.538000,8.538000,0.000000,none,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_none,12288,49152,udp,1,78.980000,78.980000,78.980000,0.000000,none,0,0,True,71.145000,1.406000,5.930000,71.145000,0.000000,0.000000,78.482000,0.012000,0.464000,0.630000,7.590000,4.896000,22.373000,0.000000,0.000000,0.000000,523.000000,264.000000,522.000000,615982.000000,4148.000000,105.000000,417.000000,262.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,0.000000,105.000000,417.000000,0.000000,263.000000,0.000000,615982.000000,4148.000000,915849.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,269574.000000,0.000000,762345.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2440.000000,0.000000,12288.000000,49152.000000,0.000000,49152.000000,0.000000,777.000000,85635.000000,3.000000,7.000000,750000.000000
a_bram_outer_skew,12288,49152,cpu,1,14.586000,14.586000,14.586000,0.000000,outer_skew,49152,49152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_outer_skew,12288,49152,udp,1,116.168000,116.168000,116.168000,0.000000,outer_skew,49152,49152,True,93.112000,1.443000,5.790000,93.112000,0.070000,9.569000,109.983000,0.025000,0.619000,0.653000,7.263000,3.258000,51.024000,0.000000,0.000000,48.330000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1337208.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,99858.000000,591075.000000,1183704.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,2989.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,777.000000,3.000000,3.000000,750000.000000
a_bram_max_x16,12288,196608,cpu,1,60.731000,60.731000,60.731000,0.000000,full,196608,196608,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_max_x16,12288,196608,udp,1,394.414000,394.414000,394.414000,0.000000,full,196608,196608,True,296.673000,1.823000,33.063000,296.673000,1.870000,38.570000,371.998000,0.026000,0.600000,0.657000,6.916000,15.708000,189.505000,0.000000,0.000000,169.369000,1773.000000,2556.000000,1772.000000,2094292.000000,2377820.000000,105.000000,1667.000000,887.000000,1.000000,1667.000000,0.000000,1.000000,196608.000000,1.000000,1.000000,70000000.000000,12288.000000,196608.000000,196608.000000,105.000000,1667.000000,1667.000000,888.000000,0.000000,2094292.000000,2377820.000000,4916337.000000,31.000000,123195.000000,26130.000000,149325.000000,1971081.000000,418080.000000,2364297.000000,4753458.000000,13320.000000,0.000000,0.000000,0.000000,1578.000000,3001.000000,1419.000000,12288.000000,196608.000000,196608.000000,0.000000,0.000000,777.000000,12432.000000,3.000000,3.000000,750000.000000
